Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
1516;Bakenbergseweg thv, 218;Hoogkamp;Dynamic;15,7;0
386;Groot Vijverdal 1;Onder de Linden;Dynamic;10,7;0
949;Otis Reddingplein 5;Rijkerswoerd West;Dynamic;9,7;0
1791;Marga Klompélaan 323;Rijkerswoerd Oost;Dynamic;6,1;0
2412;Groningelsingel 51;Vredenburg;Dynamic;3,6;0
1899;Klapstraat 25 zijkant;Elden;Dynamic;7;0
1833;Zagerij 2;Elden;Dynamic;8,9;0
38;Driekoningendwarsstraat 2a;Spijkerbuurt;Dynamic;5,1;0
1561;Huijghenslaan 77;Angerenstein;Dynamic;16;0
282;Cloekplein 2 - 142;Winkelcentrum;Dynamic;5,7;0
633;Fontuinkruidstraat 49;Malburgen West;Dynamic;7,1;0
1721;Drentesingel naast 2;Vredenburg;Dynamic;4,4;0
1808;John Grosmanstraat 2;Rijkerswoerd Oost;Dynamic;18;0
1552;Roëllstraat 1;Burgemeesterswijk;Dynamic;11,3;0
1169;Kea Bouwmanstraat t,h,v, 2;Bakenhof;Dynamic;6,4;0
337;Putstraat 15;Klarendal Zuid;Dynamic;4,1;0
869;Rotterdamsingel 11-69;Elderveld Noord;Dynamic;6,5;0
2013;Boreaplantsoen 24;Schuytgraaf-Centrum;Dynamic;3,1;0
550;Burgemeester Weertsstraat 118;Burgemeesterswijk;Dynamic;2,9;0
870;Pettenstraat 241;Elderveld Noord;Dynamic;8,9;0
1822;Meester Merkxstraat 40 overzijde;Elden;Dynamic;4,4;0
98;Voetiuslaan 45;Statenkwartier;Dynamic;14,1;0
1445;Panheelstraat thv 28;De Laar Oost;Dynamic;10,6;0
28;Spijkerstraat t/h No, 25;Spijkerbuurt;Dynamic;7,2;0
167;Roompotstraat 276;Presikhaaf II;Dynamic;5,5;0
157;IJssellaan 68 zijkant;Presikhaaf II;Dynamic;2,7;0
1142;Kustvaart t,h,v,109,;Schuytgraaf-Noord;Dynamic;9,8;0
1436;Grondsveldstraat thv 33;De Laar Oost;Dynamic;3,7;0
108;Johan de Wittlaan 232 - 234 (nst brug);Arnhemse Broek;Dynamic;7,1;0
2153;Gelderse Rooslaan 240-342;Malburgen West;Dynamic;6,3;0
867;Driemondplein 2;Elderveld Noord;Dynamic;5,2;0
1324;Vlierstraat naast nr 1;Malburgen West;Dynamic;8;0
627;Nachtschade 2 - 146;Malburgen West;Dynamic;7,9;0
1637;Eikstraat 1;Arnhemse Allee;Dynamic;5,5;0
464;Oude Kluizeweg 222-352;Alteveer/Cranevelt;Dynamic;7,2;0
1412;Aalsmeerhof 23;Elderhof;Dynamic;14,4;0
74;Boulevard Heuvelink 124;Boulevardwijk;Dynamic;20,2;0
768;Kleefseplein 1 - 239;Immerloo II;Dynamic;2,9;0
1467;Hoensbroekstraat 110;De Laar Oost;Dynamic;8,2;0
851;Zwijndrechtstraat 50 - 60 zijkant;Elderveld Zuid;Dynamic;6,2;0
1131;Meikers 14;Schuytgraaf-Noord;Dynamic;5;0
1968;Kramersgildeplein 1;Winkelcentrum;Dynamic;4,3;0
2586;Nel Klaassenstraat;Rijkerswoerd-Oost;Scheduled;11,8;7
730;Salvatorplein 40;Middelgraaflaan e,o,;Dynamic;5,1;0
1404;Verenwei 21;Elderhof;Dynamic;4,9;0
221;Korte Slag 38;Over het Lange Water;Dynamic;5;0
1639;Vogelkersweg 48;Arnhemse Allee;Dynamic;12,2;0
1145;Kustvaart t,h,v,35,;Schuytgraaf-Noord;Dynamic;7,1;0
1782;Mahatma Gandhiweg  41 overzijde;Rijkerswoerd Oost;Dynamic;3,1;0
632;Veenwortelstraat 4;Malburgen West;Dynamic;8,2;0
1656;Beukenlaan 18 zijkant;Monnikenhuizen;Dynamic;5,8;0
1092;Kazernestraat 39 overzijde;St, Janskerkstraat e,o,;Dynamic;8,3;0
1518;Hofwijkstraat 4 overzijde;Elsweide;Dynamic;8,9;0
1655;Beukenlaan 10 zijkant;Monnikenhuizen;Dynamic;13,4;0
1036;Marten van Rossemstraat to 2;St, Marten;Scheduled;0;0
47;Schoolstraat 1;Spijkerbuurt;Scheduled;8;0
2374;Dr, J,C, Hartogslaan (HIGH PARK);Velperweg Noord;Dynamic;3,6;0
1838;Schepen te Boeckoppad t,h,v, 39;Kronenburg;Dynamic;5,1;0
1470;Landgraafstraat 4;De Laar Oost;Dynamic;5,5;0
798;Schepen ten Havenstraat 13 - 33;Kronenburg;Dynamic;10,7;0
786;Kronenburgsingel 683-799 achterzijde;Kronenburg;Dynamic;7,4;0
995;Cordesstraat 12;Burgemeesterswijk;Dynamic;27,7;0
2099;Bonte Wetering 66;Geitenkamp;Dynamic;2,7;0
1755;Mina Krusemansstraat 48;Rijkerswoerd Midden;Dynamic;6,3;0
24;Velperbuitensingel 1a;Spijkerbuurt;Dynamic;3,5;0
355;Javastraat 39-51;Klarendal Zuid;Dynamic;6,7;0
1458;Sittardstraat 41 zijkant;De Laar Oost;Dynamic;10,3;0
135;Lekstraat t,h,v, 11;Presikhaaf I;Dynamic;4,2;0
1322;Haagdoornstraat naast 85;Malburgen West;Dynamic;4,3;0
1091;St, Janskerkstraat,95 overzijde;St, Janskerkstraat e,o,;Dynamic;5,4;0
1335;Spireapad 15;Malburgen West;Dynamic;4,2;0
1190;Bereklauwstraat 40 zijkant,;Zeegsingel e,o,;Dynamic;4,9;0
1121;Hertenlaan t,h,v, 30-32;Geitenkamp;Dynamic;4,6;0
1565;Verlengde Prümelaan 60;Angerenstein;Dynamic;8,1;0
2463(*);Stokerstraat;Nieuwe Kadekwartier;Dynamic;3,5;0
841;Leimuidenplaats 120;Elderveld Zuid;Dynamic;10,3;0
101;Johan de Wittlaan 429;Statenkwartier;Dynamic;2,7;0
738;Akkerwindestraat t/o No, 51;Middelgraaflaan e,o,;Dynamic;4,8;0
2042;Winterkleed;Schuytgraaf-Zuid;Dynamic;4,5;0
1478;Anna Paulownastraat thv 25;Lombok;Dynamic;9,7;0
2009;Mr, P,J, Oudsingel 79 zijkant;Rijkerswoerd Midden;Dynamic;5,8;0
1556;Prumelaan 32;Angerenstein;Dynamic;9,5;0
105;Johan de Wittlaan 62;Arnhemse Broek;Dynamic;4,4;0
962;De Maaidorser 1;Schuytgraaf-Noord;Dynamic;7,2;0
1323;Sleedoornlaan t,o 36;Malburgen West;Dynamic;8,3;0
1448;Tongerlostraat 33 zijkant;De Laar Oost;Dynamic;7,2;0
2070;Vondellaan 2;Paasberg;Dynamic;19,2;0
2090;Kroonpark 10;Kronenburg;Dynamic;3,6;0
1491;Hoogstedelaan 59 overzijde;Klingelbeek;Dynamic;9,4;0
1110;Dr, Schaepmanstraat 88;Geitenkamp;Dynamic;8,4;0
2157;Willemsplein 34;Rijnstraat;Scheduled;3,3;0
305;Schrasserstraat t/h No, 8-10;St, Marten;Dynamic;6,1;0
2581;Stormvloedkering - thv 2;Schuytgraaf Noord;Dynamic;2,1;14
979;Rentmeesterwaard 4;Schuytgraaf-Zuid;Dynamic;6,7;0
1342;Madelievenstraat naast nummer 9;Malburgen West;Dynamic;3,5;0
1425;Middelburgsingel zijkant 46 overzijde;De Laar Oost;Dynamic;6,4;0
2139;Jansbuitensingel 24;Janssingel;Scheduled;0;0
1196;Huissensestraat t,h,v, 192 overzijde;Immerloo I;Dynamic;3,8;0
1401;Koewei 71;Elderhof;Dynamic;12,3;0
2483(*);Fibula hoek Zilver;Schuygraaf- Centrum;Scheduled;5,9;30
1729;Dr Willem Dreessingel 46;Rijkerswoerd West;Dynamic;4,2;0
887;Raamsdonkstraat 2;De Laar West;Dynamic;2,9;0
1530;Weissenbruchtstraat 3;Sterrenberg;Dynamic;12,3;0
